קוד סוג,תיאור ,אזור מיסים,מעלית כן/לא,סוג נכס,"בית פרטי חד 
משפחתי דו משפחתי",דירת גג,בית משותף,"בניינים צמודי קרקע
טוריים מעל 2 יחידות",שטח מ,שטח עד,מרתף
199,נכס משולב מגורים,10,,,,,,,,,
202,מגורים אזור 1 קו החוף,10,,,,,,,,,
203,מגורים אזור 1 קו החוף,10,,,,,,,,,
210,מגורים נכס לא ראוי לשימוש,10,,,,,,,,,
211,מגורים אזור 1,10,,א,,כן,,,,,
211,מגורים אזור 1,10,,א,כן,,,,100,9999,
212,מגורים אזור 1,10,כן,ב,,,כן,,110,9999,
212,מגורים אזור 1,10,,ב,,,,כן,,,
212,מגורים אזור 1,10,,ב,כן,,,,1,100,
213,מגורים אזור 1,10,כן,ג,,,כן,,81,110,
213,מגורים אזור 1,10,,ג,,,כן,,111,9999,
214,מגורים אזור 1,10,כן,ד,,,כן,,1,80,
214,מגורים אזור 1,10,,ד,,,כן,,1,110,
216,מרפסת ללא חיוב,10,,,,,,,,,
221,מגורים אזור 2,20,,א,,כן,,,,,
221,מגורים אזור 2,20,,א,כן,,,,100,9999,
222,מגורים אזור 2,20,כן,ב,,,כן,,110,9999,
222,מגורים אזור 2,20,,ב,,,,כן,,,
222,מגורים אזור 2,20,,ב,כן,,,,1,100,
223,מגורים אזור 2,20,כן,ג,,,כן,,81,110,
223,מגורים אזור 2,20,,ג,,,כן,,111,9999,
224,מגורים אזור 2,20,כן,ד,,,כן,,1,80,
224,מגורים אזור 2,20,,ד,,,כן,,1,110,
226,מרפסת ללא חיוב,20,,,,,,,,,
231,מגורים אזור 3,30,,א,,כן,,,,,
231,מגורים אזור 3,30,,א,כן,,,,100,9999,
232,מגורים אזור 3,30,כן,ב,,,כן,,110,9999,
232,מגורים אזור 3,30,,ב,,,,כן,,,
232,מגורים אזור 3,30,,ב,כן,,,,1,100,
233,מגורים אזור 3,30,כן,ג,,,כן,,81,110,
233,מגורים אזור 3,30,,ג,,,כן,,111,9999,
234,מגורים אזור 3,30,כן,ד,,,כן,,1,80,
234,מגורים אזור 3,30,,ד,,,כן,,1,110,
236,מרפסת ללא חיוב,30,,,,,,,,,
241,מגורים אזור 32,32,,,,,,,,,
242,מגורים אזור 32,32,,,,,,,,,
243,מגורים אזור 32,32,,,,,,,,,
244,מגורים אזור 32,32,,,,,,,,,
245,מגורים אזור 32,32,,,,,,,,,
250,מחסן מגורים אזור 1,10,,,,,,,,,
251,מגורים אזור 1,10,,,,,,,,,
252,מחסן מגורים אזור 2,20,,,,,,,,,
253,מגורים אזור 2,20,,,,,,,,,
254,מחסן מגורים אזור 3,30,,,,,,,,,
255,מגורים אזור 3,30,,,,,,,,,
299,נכס משולב עסקים,40,,,,,,,,,
300,מים בלבד עסקים,40,,,,,,,,,
301,"מסחר מעל 15,000 מ""ר",40,,,,,,,,,
302,מבנה מכללות ואונברסיטאות,40,,,,,,,,,
310,משרדים שרותים ומסחר לא ראוי,40,,,,,,,,,
311,משרדים שרותים ומסחר אזור 1,40,,,,,,,,,
312,משרדים שרותים ומסחר אזור 1,40,,,,,,,,,
313,משרדי ממשלה אזור 1,40,,,,,,,,,
315,מסחר ללא חיוב,40,,,,,,,,,
316,"לא ראוי עפ""י סעיף 330 תעשיה",40,,,,,,,,,
317,"לא ראוי עפ""י סעיף 330 מסחר",40,,,,,,,,,
318,"לא ראוי עפ""י סעיף 330 מגורים",40,,,,,,,,,
321,משרדים שרותים ומסחר אזור 2,40,,,,,,,,,
322,משרדים שרותים ומסחר אזור 2,40,,,,,,,,,
323,משרדי ממשלה אזור 2,40,,,,,,,,,
325,פינוי בינוי,40,,,,,,,,,
390,תיעול איחוד כרטיסים עסקים,40,,,,,,,,,
397,כרטיס בבניה למעקב עסקים,40,,,,,,,,,
398,היה בסוג נכס 400 נבדק וחוייבו,40,,,,,,,,,
399,תעשיה ומלאכה לא ראוי לשימוש,40,,,,,,,,,
400,כרטיס לבניה,40,,,,,,,,,
401,תעשיה ומלאכה,40,,,,,,,,,
402,עסיס תעשיה ללא חיוב,40,,,,,,,,,
403,אורדן תעשיה ללא חיוב,40,,,,,,,,,
404,תעשית טמפו ללא חיוב,40,,,,,,,,,
405,גמיד תעשיה ללא חיוב,40,,,,,,,,,
406,המסלול תעשיה ללא חיו,40,,,,,,,,,
407,פרגוד תעשיה ללא חיוב,40,,,,,,,,,
408,פולידור ללא חיוב,40,,,,,,,,,
409,צינומנטל ללא חיוב,40,,,,,,,,,
410,שלרינה תעשיה ללא חיו,40,,,,,,,,,
411,מפעלי שנפ - ללא חיוב,40,,,,,,,,,
412,אביק תעשיה ללא חיוב,40,,,,,,,,,
413,נכסי מדינה תעשיה ומלאכה,40,,,,,,,,,
414,תעשיה עתירת ידע,40,,,,,,,,,
415,"נכס המשמש מספרה,קוסמטיקה אזור1",40,,,,,,,,,
416,"נכס המשמש מספרה,קוסמטיקה אזור2",40,,,,,,,,,
417,מפעלי בטון מלט טיט וכו,40,,,,,,,,,
501,מוסדות אזור 1,40,,,,,,,,,
502,מוסדות אזור 2,40,,,,,,,,,
503,שכירות עירית נתניה,40,,,,,,,,,
504,רכוש עירית נתניה,40,,,,,,,,,
505,מוסד חינוך עירוני,40,,,,,,,,,
506,גני נוי עירוניים,40,,,,,,,,,
507,מוסדות דת,40,,,,,,,,,
508,אגודות ספורט,40,,,,,,,,,
509,מוסדות אזור 1,40,,,,,,,,,
510,מוסדות אזור 2,40,,,,,,,,,
511,נכסי ממשלה אזור 1,40,,,,,,,,,
512,נכסי ממשלה אזור 2,40,,,,,,,,,
513,מפלגות,40,,,,,,,,,
514,"חל""ת",40,,,,,,,,,
515,ללא סיווג דומה בצו הארנונה אז1,40,,,,,,,,,
516,ללא סיווג דומה בצו הארנונה אז2,40,,,,,,,,,
520,מקוואות,40,,,,,,,,,
521,ישיבות - פנימיות,40,,,,,,,,,
522,"מוסד דת,חינוך ואחר",40,,,,,,,,,
523,מים למוסדות,40,,,,,,,,,
552,שלט לפי שטח,40,,,,,,,,,
601,אדמה חקלאית,40,,,,,,,,,
602,פרדסים,40,,,,,,,,,
603,ק.תפוסה תיעול,40,,,,,,,,,
661,מיועד לביטול - פרדסים,40,,,,,,,,,
662,מיועד לביטול - חקלאית,40,,,,,,,,,
700,קרקע לא בשימוש  עסקים,40,,,,,,,,,
701,ק.תפוסה לצרכי תעשיה,40,,,,,,,,,
702,ק.תפוסה לכל מטרה אחר,40,,,,,,,,,
703,ק. תפוסה המשמש לעריכת ארועים,40,,,,,,,,,
704,ק. תפוסה למכירה/השכרה/החסנה וה,40,,,,,,,,,
705,קרקע תפוסהלשימוש מפעלי בטון וכ,40,,,,,,,,,
800,רשת שווק מעל 1000 מ',40,,,,,,,,,
801,בנקים ומוסדות אשראי,40,,,,,,,,,
802,בתי אריזה,40,,,,,,,,,
803,תחנות דלק,40,,,,,,,,,
804,ק.תפוסה לתחנות דלק,40,,,,,,,,,
805,מרכז קניות,40,,,,,,,,,
806,בתי  קולנוע,40,,,,,,,,,
807,גני-ילדים פרטיים,40,,,,,,,,,
808,בתי אבות,40,,,,,,,,,
809,דוכן שוק,40,,,,,,,,,
810,חניון לרכב מקורה,40,,,,,,,,,
811,חניון לא מקורה,40,,,,,,,,,
812,בתי-ספר פרטיים,40,,,,,,,,,
813,"בי""ס ללא פיקוח מ.חינוך",40,,,,,,,,,
814,חניון מעל 15000 מטר,40,,,,,,,,,
815,חדרי טרנפורמציה חברת החשמל,40,,,,,,,,,
816,חניון מקורה לא ראוי,40,,,,,,,,,
818,שוק וייצמן,40,,,,,,,,,
819,דוכן שוק קטן,40,,,,,,,,,
820,דוכן שוק חדש,40,,,,,,,,,
821,מנהלות מחוז בנקים,40,,,,,,,,,
822,בנקים תעריף מינימום,40,,,,,,,,,
824,חברות ביטוח,40,,,,,,,,,
827,מוזיאון למטרת רווח,40,,,,,,,,,
828,מוזיאון ללא מטרת רווח,40,,,,,,,,,
881,בית אבות אזור 1 מגורים,40,,,,,,,,,
882,בית אבות אזור 2 מגורים,40,,,,,,,,,
883,בית אבות אזור 3 מגורים,40,,,,,,,,,
901,"בתי מלון עד 1000 מ""ר",40,,,,,,,,,
902,"בתי מלון מ-1,001 עד 2,000 מ""ר",40,,,,,,,,,
903,"בתי מלון מ-2,001 עד 4,000 מ""ר",40,,,,,,,,,
904,"בתי מלון  מ- 4,001 מטר ומעלה",40,,,,,,,,,
905,בתי מלון 5 כוכבים,40,,,,,,,,,
906,דירות מיוחדות מגורים,40,,,,,,,,,
907,מעון למגורי עולים,40,,,,,,,,,
908,אולמות כדורת,40,,,,,,,,,
909,מרכז ספורט ונופש(קאנטרי קלאב),40,,,,,,,,,
910,מ. ספורט ונופש שטח פתוח,40,,,,,,,,,
911,"לא פעיל היה קופ""ח כללית",40,,,,,,,,,
912,מבנה אצטדיון כדורגל,40,,,,,,,,,
913,שטח קרקע פתוח של אצטדיון,40,,,,,,,,,
915,בתי מלון נכס לא ראוי,40,,,,,,,,,
990,ביטולים/איחודים,40,,,,,,,,,
995,נכס לא פעיל,40,,,,,,,,,
999,ללא סוג,40,,,,,,,,,
